Convention,Day,Text
2020 RNC,Day 1,FORMER SECRETARIES OF STATE WE.
2020 RNC,Day 1,CAN NEVER SEEN A CURRENT SAID
2020 RNC,Day 1,BEING SECRETARY OF STATE ADDRESS
2020 RNC,Day 1,A PARTY CONVENTION.
2020 RNC,Day 1,THAT WILL CHANGE THIS WEEK.
2020 RNC,Day 1,>> SECRETARY OF STATE MIKE
2020 RNC,Day 1,POMPEO WILL BE DELIVERING A
2020 RNC,Day 1,TAPED ADDRESS FROM WHERE HE IS.
2020 RNC,Day 1,MASSIVE OUTRAGE OVER THAT FROM
2020 RNC,Day 1,MANY PEOPLE.
2020 RNC,Day 1,WE DID SEE THE HOUSE FOREIGN
2020 RNC,Day 1,AFFAIRS COMMITTEE RELEASED THIS
2020 RNC,Day 1,"EARLIER TODAY, A LETTER OR A"
2020 RNC,Day 1,MEMO FROM THE STATE DEPARTMENT
2020 RNC,Day 1,OFFICE
2020 RNC,Day 1,OF THE LEGAL ADVISORS -- HOST:
2020 RNC,Day 1,WE WILL LEAVE IT THERE AS THE
2020 RNC,Day 1,CONVENTION GETS UNDER WAY.
2020 RNC,Day 1,WE'LL CHECK IN WITH YOU AFTER
2020 RNC,Day 1,THE CONVENTION CON CLUSMEDSE OUR
2020 RNC,Day 1,LIVE COVERAGE RIGHT NOW.
2020 RNC,Day 1,[CAPTIONS COPYRIGHT NATIONAL
2020 RNC,Day 1,CABLE SATELLITE CORP. 2020]
2020 RNC,Day 1,[CAPTIONING PERFORMED BY THE
2020 RNC,Day 1,"NATIONAL CAPTIONING INSTITUTE,"
2020 RNC,Day 1,WHICH IS RESPONSIBLE FOR ITS
2020 RNC,Day 1,CAPTION CONTENT AND ACCURACY.
2020 RNC,Day 1,VISIT NCICAP.ORG]
2020 RNC,Day 1,>> A COUNTRY WHERE WE'RE JUDGED
2020 RNC,Day 1,BY OUR CHARACTER WITH DIGNITY AN
2020 RNC,Day 1,RESPECT FOR ALL.
2020 RNC,Day 1,BELIEF THAT ALL ARE CREATED
2020 RNC,Day 1,EQUAL THAT LIVES MATTER
2020 RNC,Day 1,"IRRESPECTIVE OF RACE, CREED, OR"
2020 RNC,Day 1,COLOR.
2020 RNC,Day 1,COMMITTED TO EXCELLING BEYOND
2020 RNC,Day 1,OUR DREAMS.
2020 RNC,Day 1,LIMITED ONLY BY OUR IMAGINATIONS
2020 RNC,Day 1,WHERE RUGGED INDIVIDUALISM AND
2020 RNC,Day 1,AMERICAN EXCEPTIONALISM INSPIRED
2020 RNC,Day 1,DESTINATIONS AND WHEN WE SEE
2020 RNC,Day 1,INJUSTICE TO ONE WE ACT TO FIX
2020 RNC,Day 1,IT FOR ALL.
2020 RNC,Day 1,THIS IS OUR STORY.
2020 RNC,Day 1,WE JOURNEY TOGETHER.
2020 RNC,Day 1,WE STAND IN THE BREACH TO
2020 RNC,Day 1,PRESERVE A WAY OF LIFE THAT
2020 RNC,Day 1,WHILE IMPERFECT HAS BROUGHT
2020 RNC,Day 1,"PROSPERITY, HONOR AND DIGNITY TO"
2020 RNC,Day 1,GENERATIONS PAST AND WILL FOR
2020 RNC,Day 1,GENERATIONS TO COME.
2020 RNC,Day 1,FOUR YEARS AGO WE FACED A
2020 RNC,Day 1,HISTORIC CROSSROAD.
2020 RNC,Day 1,CAREER POLITICIANS PROMISING
2020 RNC,Day 1,CHANGE EVERY ELECTION.
2020 RNC,Day 1,BUT DELIVERING EMPTINESS.
