CreationYear,CreationMonth,TagName,PostCount,Rank
"2010","1","c#","5116","1"
"2010","1","java","3728","2"
"2010","1","php","3442","3"
"2010","1","javascript","2620","4"
"2010","1",".net","2340","5"
"2010","1","jquery","2338","6"
"2010","1","iphone","2246","7"
"2010","1","asp.net","2213","8"
"2010","1","c++","2002","9"
"2010","1","python","1949","10"
"2010","1","html","1429","11"
"2010","1","mysql","1375","12"
"2010","1","sql","1256","13"
"2010","1","asp.net-mvc","1065","14"
"2010","1","ruby-on-rails","1056","15"
"2010","1","objective-c","990","16"
"2010","1","c","982","17"
"2010","1","css","960","18"
"2010","1","android","950","19"
"2010","1","sql-server","923","20"
"2010","1","wpf","794","21"
"2010","1","ruby","686","22"
"2010","1","django","668","23"
"2010","1","xml","627","24"
"2010","1","windows","595","25"
"2010","1","ajax","572","26"
"2010","1","database","557","27"
"2010","1","vb.net","535","28"
"2010","1","regex","519","29"
"2010","1","actionscript-3","472","30"
"2010","1","flash","464","31"
"2010","1","performance","461","32"
"2010","1","cocoa","435","33"
"2010","1","multithreading","431","34"
"2010","1","winforms","427","35"
"2010","1","visual-studio","426","36"
"2010","1","linux","411","37"
"2010","1","visual-studio-2008","393","38"
"2010","1","apache-flex","392","39"
"2010","1","silverlight","388","40"
"2010","1","arrays","376","41"
"2010","1","string","365","42"
"2010","1","wcf","364","43"
"2010","1","eclipse","358","44"
"2010","1","linq","354","45"
"2010","1","macos","347","46"
"2010","1","web-services","321","47"
"2010","1","image","310","48"
"2010","1","delphi","303","49"
"2010","1","perl","302","50"
"2010","1","algorithm","299","51"
"2010","1","sql-server-2005","296","52"
"2010","1","svn","282","53"
"2010","1","cocoa-touch","277","54"
"2010","1","forms","277","54"
"2010","1","user-interface","275","56"
"2010","1","security","273","57"
"2010","1","oracle","260","58"
"2010","1","xcode","256","59"
"2010","1","hibernate","251","60"
"2010","1","git","246","61"
"2010","1","oop","246","61"
"2010","1","tsql","243","63"
"2010","1","nhibernate","242","64"
"2010","1","winapi","237","65"
"2010","1","validation","236","66"
"2010","1","file","235","67"
"2010","1","linq-to-sql","234","68"
"2010","1","sharepoint","233","69"
"2010","1","google-app-engine","232","70"
"2010","1","json","232","70"
"2010","1","unit-testing","226","72"
"2010","1","debugging","224","73"
"2010","1","apache","219","74"
"2010","1","spring","218","75"
"2010","1","excel","213","76"
"2010","1","qt","204","77"
"2010","1","internet-explorer","201","78"
"2010","1","xhtml","199","79"
"2010","1","uitableview","198","80"
"2010","1","class","196","81"
"2010","1","swing","195","82"
"2010","1","http","192","83"
"2010","1","wordpress","183","84"
"2010","1","design-patterns","182","85"
"2010","1","events","179","86"
"2010","1","parsing","176","87"
"2010","1","function","175","88"
"2010","1","generics","174","89"
"2010","1","sockets","174","89"
"2010","1","sql-server-2008","173","91"
"2010","1","data-binding","171","92"
"2010","1","zend-framework","171","92"
"2010","1","firefox","170","94"
"2010","1","entity-framework","170","94"
"2010","1","visual-c++","170","94"
"2010","1","caching","168","97"
"2010","1","list","167","98"
"2010","1","actionscript","166","99"
"2010","1","database-design","166","99"
"2010","1","session","166","99"
"2010","2","c#","5105","1"
"2010","2","java","3583","2"
"2010","2","php","3170","3"
"2010","2","javascript","2638","4"
"2010","2",".net","2380","5"
"2010","2","jquery","2337","6"
"2010","2","c++","2277","7"
"2010","2","iphone","2178","8"
"2010","2","asp.net","2162","9"
"2010","2","python","1866","10"
"2010","2","html","1330","11"
"2010","2","mysql","1325","12"
"2010","2","sql","1288","13"
"2010","2","ruby-on-rails","1061","14"
"2010","2","android","1059","15"
"2010","2","c","1036","16"
"2010","2","objective-c","1009","17"
"2010","2","asp.net-mvc","974","18"
"2010","2","css","954","19"
"2010","2","sql-server","892","20"
"2010","2","wpf","794","21"
"2010","2","django","706","22"
"2010","2","ruby","688","23"
"2010","2","xml","667","24"
"2010","2","database","616","25"
"2010","2","vb.net","600","26"
"2010","2","ajax","576","27"
"2010","2","windows","574","28"
"2010","2","regex","562","29"
"2010","2","visual-studio","464","30"
"2010","2","multithreading","457","31"
"2010","2","apache-flex","455","32"
"2010","2","actionscript-3","451","33"
"2010","2","flash","445","34"
"2010","2","performance","438","35"
"2010","2","winforms","436","36"
"2010","2","linux","426","37"
"2010","2","arrays","419","38"
"2010","2","string","416","39"
"2010","2","visual-studio-2008","402","40"
"2010","2","cocoa","381","41"
"2010","2","silverlight","371","42"
"2010","2","eclipse","369","43"
"2010","2","macos","362","44"
"2010","2","perl","348","45"
"2010","2","wcf","338","46"
"2010","2","linq","320","47"
"2010","2","cocoa-touch","312","48"
"2010","2","algorithm","309","49"
"2010","2","sql-server-2005","306","50"
"2010","2","xcode","300","51"
"2010","2","nhibernate","288","52"
"2010","2","security","287","53"
"2010","2","web-services","286","54"
"2010","2","oop","284","55"
"2010","2","oracle","284","55"
"2010","2","image","284","55"
"2010","2","delphi","283","58"
"2010","2","svn","282","59"
"2010","2","winapi","278","60"
"2010","2","forms","272","61"
"2010","2","user-interface","265","62"
"2010","2","tsql","261","63"
"2010","2","unit-testing","248","64"
"2010","2","sharepoint","247","65"
"2010","2","git","246","66"
"2010","2","validation","246","66"
"2010","2","debugging","242","68"
"2010","2","spring","239","69"
"2010","2","json","239","69"
"2010","2","hibernate","236","71"
"2010","2","swing","226","72"
"2010","2","apache","224","73"
"2010","2","file","224","73"
"2010","2","linq-to-sql","217","75"
"2010","2","zend-framework","215","76"
"2010","2","qt","206","77"
"2010","2","internet-explorer","202","78"
"2010","2","events","201","79"
"2010","2","google-app-engine","200","80"
"2010","2","excel","199","81"
"2010","2","sockets","199","81"
"2010","2","design-patterns","198","83"
"2010","2","templates","193","84"
"2010","2","http","193","84"
"2010","2","class","192","86"
"2010","2","sql-server-2008","188","87"
"2010","2","entity-framework","186","88"
"2010","2","visual-c++","184","89"
"2010","2","xhtml","184","89"
"2010","2","data-binding","178","91"
"2010","2","facebook","178","91"
"2010","2","sqlite","175","93"
"2010","2","session","171","94"
"2010","2","uitableview","170","95"
"2010","2","parsing","169","96"
"2010","2","orm","166","97"
"2010","2","email","165","98"
"2010","2","memory-management","163","99"
"2010","2","generics","163","99"
"2010","2","drupal","163","99"
"2010","3","c#","6038","1"
"2010","3","java","4447","2"
"2010","3","php","3758","3"
"2010","3","javascript","2986","4"
"2010","3","jquery","2908","5"
"2010","3",".net","2809","6"
"2010","3","iphone","2550","7"
"2010","3","asp.net","2503","8"
"2010","3","c++","2440","9"
"2010","3","python","2072","10"
"2010","3","mysql","1653","11"
"2010","3","html","1503","12"
"2010","3","sql","1462","13"
"2010","3","android","1292","14"
"2010","3","ruby-on-rails","1170","15"
"2010","3","css","1142","16"
"2010","3","objective-c","1129","17"
"2010","3","c","1119","18"
"2010","3","asp.net-mvc","987","19"
"2010","3","wpf","964","20"
"2010","3","sql-server","893","21"
"2010","3","xml","744","22"
"2010","3","regex","700","23"
"2010","3","ruby","696","24"
"2010","3","database","689","25"
"2010","3","vb.net","672","26"
"2010","3","django","649","27"
"2010","3","windows","618","28"
"2010","3","ajax","598","29"
"2010","3","winforms","548","30"
"2010","3","silverlight","516","31"
"2010","3","arrays","511","32"
"2010","3","multithreading","502","33"
"2010","3","apache-flex","501","34"
"2010","3","wcf","492","35"
"2010","3","string","488","36"
"2010","3","performance","476","37"
"2010","3","linux","472","38"
"2010","3","flash","455","39"
"2010","3","actionscript-3","454","40"
"2010","3","visual-studio-2008","445","41"
"2010","3","visual-studio","438","42"
"2010","3","linq","434","43"
"2010","3","eclipse","417","44"
"2010","3","perl","392","45"
"2010","3","cocoa","381","46"
"2010","3","web-services","378","47"
"2010","3","image","371","48"
"2010","3","sql-server-2005","369","49"
"2010","3","cocoa-touch","348","50"
"2010","3","oracle","344","51"
"2010","3","algorithm","340","52"
"2010","3","svn","330","53"
"2010","3","macos","329","54"
"2010","3","forms","324","55"
"2010","3","security","321","56"
"2010","3","user-interface","320","57"
"2010","3","delphi","318","58"
"2010","3","xcode","312","59"
"2010","3","nhibernate","297","60"
"2010","3","json","295","61"
"2010","3","apache","293","62"
"2010","3","validation","288","63"
"2010","3","swing","287","64"
"2010","3","git","283","65"
"2010","3","debugging","276","66"
"2010","3","linq-to-sql","273","67"
"2010","3","file","271","68"
"2010","3","tsql","270","69"
"2010","3","hibernate","267","70"
"2010","3","zend-framework","264","71"
"2010","3","sql-server-2008","257","72"
"2010","3","unit-testing","255","73"
"2010","3","google-app-engine","254","74"
"2010","3","excel","252","75"
"2010","3","oop","251","76"
"2010","3","wordpress","243","77"
"2010","3","spring","240","78"
"2010","3","sharepoint","237","79"
"2010","3","winapi","236","80"
"2010","3","list","228","81"
"2010","3","events","227","82"
"2010","3","bash","222","83"
"2010","3","uitableview","221","84"
"2010","3","class","220","85"
"2010","3","entity-framework","220","85"
"2010","3","internet-explorer","219","87"
"2010","3","parsing","216","88"
"2010","3","visual-c++","216","88"
"2010","3","generics","213","90"
"2010","3","design-patterns","207","91"
"2010","3","qt","205","92"
"2010","3","sockets","205","92"
"2010","3","sqlite","197","94"
"2010","3","datetime","192","95"
"2010","3","database-design","192","95"
"2010","3","caching","190","97"
"2010","3","http","188","98"
"2010","3","drupal","186","99"
"2010","3","exception","183","100"
"2010","4","c#","5786","1"
"2010","4","java","3889","2"
"2010","4","php","3652","3"
"2010","4","javascript","3003","4"
"2010","4","jquery","2756","5"
"2010","4","iphone","2626","6"
"2010","4",".net","2511","7"
"2010","4","c++","2490","8"
"2010","4","asp.net","2284","9"
"2010","4","python","1817","10"
"2010","4","mysql","1596","11"
"2010","4","html","1553","12"
"2010","4","android","1404","13"
"2010","4","sql","1325","14"
"2010","4","c","1186","15"
"2010","4","objective-c","1154","16"
"2010","4","ruby-on-rails","1152","17"
"2010","4","css","1148","18"
"2010","4","asp.net-mvc","911","19"
"2010","4","wpf","871","20"
"2010","4","sql-server","827","21"
"2010","4","ruby","753","22"
"2010","4","xml","654","23"
"2010","4","regex","641","24"
"2010","4","vb.net","605","25"
"2010","4","django","591","26"
"2010","4","windows","587","27"
"2010","4","ajax","559","28"
"2010","4","database","551","29"
"2010","4","winforms","531","30"
"2010","4","arrays","505","31"
"2010","4","silverlight","483","32"
"2010","4","visual-studio","468","33"
"2010","4","string","465","34"
"2010","4","multithreading","458","35"
"2010","4","linux","453","36"
"2010","4","performance","450","37"
"2010","4","flash","443","38"
"2010","4","actionscript-3","429","39"
"2010","4","apache-flex","428","40"
"2010","4","cocoa-touch","422","41"
"2010","4","visual-studio-2010","416","42"
"2010","4","cocoa","394","43"
"2010","4","visual-studio-2008","390","44"
"2010","4","wcf","389","45"
"2010","4","algorithm","376","46"
"2010","4","web-services","370","47"
"2010","4","perl","365","48"
"2010","4","linq","363","49"
"2010","4","eclipse","357","50"
"2010","4","image","353","51"
"2010","4","ipad","325","52"
"2010","4","forms","312","53"
"2010","4","macos","308","54"
"2010","4","json","308","54"
"2010","4","security","300","56"
"2010","4","oop","300","56"
"2010","4","xcode","293","58"
"2010","4","oracle","290","59"
"2010","4","google-app-engine","285","60"
"2010","4","sql-server-2005","285","60"
"2010","4","user-interface","275","62"
"2010","4","nhibernate","274","63"
"2010","4","tsql","273","64"
"2010","4","delphi","271","65"
"2010","4","file","269","66"
"2010","4","facebook","268","67"
"2010","4","unit-testing","254","68"
"2010","4","linq-to-sql","253","69"
"2010","4","hibernate","250","70"
"2010","4","debugging","250","70"
"2010","4","sharepoint","249","72"
"2010","4","validation","248","73"
"2010","4","uitableview","248","73"
"2010","4","asp.net-mvc-2","246","75"
"2010","4","entity-framework","246","75"
"2010","4","internet-explorer","244","77"
"2010","4","qt","243","78"
"2010","4","apache","240","79"
"2010","4","git","238","80"
"2010","4","excel","236","81"
"2010","4","swing","236","81"
"2010","4","svn","235","83"
"2010","4","parsing","225","84"
"2010","4","jquery-ui","220","85"
"2010","4","sql-server-2008","220","85"
"2010","4","email","215","87"
"2010","4","winapi","214","88"
"2010","4","wordpress","213","89"
"2010","4","visual-c++","210","90"
"2010","4","function","210","90"
"2010","4","http","210","90"
"2010","4","bash","207","93"
"2010","4","sqlite","201","94"
"2010","4","spring","200","95"
"2010","4","design-patterns","199","96"
"2010","4","class","196","97"
"2010","4","exception","195","98"
"2010","4","drupal","194","99"
"2010","4","events","189","100"
"2010","5","c#","5940","1"
"2010","5","java","4177","2"
"2010","5","php","3997","3"
"2010","5","javascript","3225","4"
"2010","5","jquery","2777","5"
"2010","5","iphone","2703","6"
"2010","5",".net","2481","7"
"2010","5","asp.net","2427","8"
"2010","5","c++","2423","9"
"2010","5","python","2010","10"
"2010","5","mysql","1657","11"
"2010","5","html","1605","12"
"2010","5","android","1580","13"
"2010","5","sql","1450","14"
"2010","5","objective-c","1305","15"
"2010","5","ruby-on-rails","1296","16"
"2010","5","c","1179","17"
"2010","5","css","1144","18"
"2010","5","asp.net-mvc","1008","19"
"2010","5","wpf","957","20"
"2010","5","sql-server","888","21"
"2010","5","ruby","776","22"
"2010","5","xml","724","23"
"2010","5","database","650","24"
"2010","5","windows","620","25"
"2010","5","ajax","619","26"
"2010","5","regex","602","27"
"2010","5","django","593","28"
"2010","5","vb.net","547","29"
"2010","5","silverlight","523","30"
"2010","5","visual-studio","522","31"
"2010","5","winforms","518","32"
"2010","5","arrays","510","33"
"2010","5","visual-studio-2010","486","34"
"2010","5","multithreading","475","35"
"2010","5","linux","467","36"
"2010","5","cocoa","451","37"
"2010","5","string","441","38"
"2010","5","performance","438","39"
"2010","5","apache-flex","429","40"
"2010","5","algorithm","420","41"
"2010","5","eclipse","408","42"
"2010","5","wcf","401","43"
"2010","5","flash","383","44"
"2010","5","linq","381","45"
"2010","5","cocoa-touch","351","46"
"2010","5","actionscript-3","348","47"
"2010","5","macos","341","48"
"2010","5","oop","332","49"
"2010","5","sql-server-2005","330","50"
"2010","5","xcode","330","50"
"2010","5","web-services","326","52"
"2010","5","ipad","325","53"
"2010","5","visual-studio-2008","322","54"
"2010","5","image","311","55"
"2010","5","security","310","56"
"2010","5","forms","305","57"
"2010","5","json","304","58"
"2010","5","unit-testing","290","59"
"2010","5","perl","288","60"
"2010","5","hibernate","284","61"
"2010","5","asp.net-mvc-2","284","61"
"2010","5","delphi","280","63"
"2010","5","tsql","272","64"
"2010","5","oracle","271","65"
"2010","5","facebook","268","66"
"2010","5","user-interface","262","67"
"2010","5","validation","260","68"
"2010","5","nhibernate","256","69"
"2010","5","sql-server-2008","253","70"
"2010","5","entity-framework","247","71"
"2010","5","internet-explorer","246","72"
"2010","5","git","244","73"
"2010","5","linq-to-sql","244","73"
"2010","5","file","242","75"
"2010","5","qt","241","76"
"2010","5","winapi","241","76"
"2010","5","google-app-engine","240","78"
"2010","5","wordpress","240","78"
"2010","5","uitableview","240","78"
"2010","5","excel","239","81"
"2010","5","svn","236","82"
"2010","5","sqlite","233","83"
"2010","5","spring","233","83"
"2010","5","swing","228","85"
"2010","5","apache","226","86"
"2010","5","drupal","225","87"
"2010","5","events","222","88"
"2010","5","function","221","89"
"2010","5","debugging","218","90"
"2010","5","templates","216","91"
"2010","5","class","214","92"
"2010","5","parsing","212","93"
"2010","5","matlab","207","94"
"2010","5","jquery-ui","207","94"
"2010","5","sockets","205","96"
"2010","5","caching","204","97"
"2010","5","http","202","98"
"2010","5","design-patterns","202","98"
"2010","5","visual-c++","200","100"
"2010","6","c#","6154","1"
"2010","6","java","4291","2"
"2010","6","php","4099","3"
"2010","6","javascript","3469","4"
"2010","6","iphone","3184","5"
"2010","6","jquery","3074","6"
"2010","6","c++","2828","7"
"2010","6",".net","2488","8"
"2010","6","asp.net","2420","9"
"2010","6","python","2208","10"
"2010","6","android","2036","11"
"2010","6","html","1800","12"
"2010","6","mysql","1770","13"
"2010","6","sql","1624","14"
"2010","6","objective-c","1432","15"
"2010","6","ruby-on-rails","1346","16"
"2010","6","css","1256","17"
"2010","6","c","1155","18"
"2010","6","wpf","1057","19"
"2010","6","sql-server","873","20"
"2010","6","asp.net-mvc","856","21"
"2010","6","ruby","853","22"
"2010","6","xml","823","23"
"2010","6","regex","749","24"
"2010","6","django","687","25"
"2010","6","ajax","664","26"
"2010","6","windows","660","27"
"2010","6","database","619","28"
"2010","6","vb.net","548","29"
"2010","6","linux","523","30"
"2010","6","silverlight","498","31"
"2010","6","visual-studio","492","32"
"2010","6","winforms","479","33"
"2010","6","multithreading","475","34"
"2010","6","visual-studio-2010","471","35"
"2010","6","arrays","460","36"
"2010","6","performance","458","37"
"2010","6","apache-flex","456","38"
"2010","6","string","450","39"
"2010","6","actionscript-3","430","40"
"2010","6","linq","421","41"
"2010","6","flash","414","42"
"2010","6","cocoa","412","43"
"2010","6","perl","409","44"
"2010","6","algorithm","401","45"
"2010","6","eclipse","394","46"
"2010","6","xcode","394","46"
"2010","6","visual-studio-2008","393","48"
"2010","6","wcf","392","49"
"2010","6","image","390","50"
"2010","6","oracle","382","51"
"2010","6","ipad","363","52"
"2010","6","macos","360","53"
"2010","6","cocoa-touch","353","54"
"2010","6","web-services","344","55"
"2010","6","sql-server-2005","340","56"
"2010","6","security","332","57"
"2010","6","delphi","329","58"
"2010","6","apache","321","59"
"2010","6","facebook","320","60"
"2010","6","json","313","61"
"2010","6","tsql","310","62"
"2010","6","qt","309","63"
"2010","6","google-app-engine","309","63"
"2010","6","oop","308","65"
"2010","6","asp.net-mvc-2","307","66"
"2010","6","winapi","306","67"
"2010","6","hibernate","302","68"
"2010","6","forms","301","69"
"2010","6","drupal","299","70"
"2010","6","git","295","71"
"2010","6","unit-testing","293","72"
"2010","6","sql-server-2008","279","73"
"2010","6","validation","278","74"
"2010","6","excel","278","74"
"2010","6","svn","271","76"
"2010","6","file","268","77"
"2010","6","user-interface","268","77"
"2010","6","debugging","266","79"
"2010","6","wordpress","261","80"
"2010","6","nhibernate","257","81"
"2010","6","spring","254","82"
"2010","6","core-data","242","83"
"2010","6","internet-explorer","240","84"
"2010","6","entity-framework","239","85"
"2010","6","events","239","85"
"2010","6","linq-to-sql","237","87"
"2010","6","postgresql","236","88"
"2010","6","visual-c++","232","89"
"2010","6","class","228","90"
"2010","6","parsing","228","90"
"2010","6","design-patterns","224","92"
"2010","6","http","223","93"
"2010","6","jquery-ui","222","94"
