state,school_name,school_location,program_name,program_url
Alabama,Auburn University,"Auburn University, Alabama",Graduate Certificate in Business Analytics,http://harbert.auburn.edu/academics/graduate-certificates/business-analytics/
Alabama,The University of Alabama,"Tuscaloosa, Alabama",Master of Science in Applied Statistics,https://manderson.culverhouse.ua.edu/programs/specialized-masters/applied-statistics/
Alabama,University of Alabama at Birmingham,"Birmingham, Alabama",Master of Science in Management Information Systems,http://businessdegrees.uab.edu/mis-degree-masters/
Alabama,University of Alabama in Huntsville,"Huntsville, Alabama",Master of Science in Management Science - Business Analytics (MSMS-BA),http://www.uah.edu/cba/grad/degrees/analytics
Alabama,University of North Alabama,"Florence, Alabama",Master of Science in Geospatial Science,https://www.una.edu/geography/Grad/index.html
Arizona,Arizona State University,"Tempe, Arizona",Master of Accountancy - Data and Analytics Track,https://wpcarey.asu.edu/masters-programs/accounting-taxation
Arizona,Northern Arizona University,"Flagstaff, Arizona",Master of Science in Applied Geospatial Sciences,https://nau.edu/sbs/gpr/degrees-programs/ms-applied-geospatial-sciences/
Arizona,University of Arizona,"Tucson, Arizona",Business Intelligence & Analytics (Certificate NDP),http://grad.arizona.edu/programs/programinfo/BIACRTG
Arkansas,University of Arkansas at Little Rock,"Little Rock, Arkansas",Graduate Certificate in Data Science,http://ualr.edu/informationscience/graduate-certificate-in-data-science/
Arkansas,University of Arkansas,"Fayetteville, Arkansas",Graduate Certificate in Business Analytics,http://gsb.uark.edu/business-analytics-certificate/
California,"University of California, Berkeley","Berkeley, California",Online Master of Information and Cybersecurity (MICS),https://requestinfo.cybersecurity.berkeley.edu/index.html?s=mastersindatasciencesite&l=schools_california--listings-featured-program
California,California Institute of Technology,"Pasadena, California",PhD in Computing and Mathematical Sciences,http://www.cms.caltech.edu/academics/grad_cms
California,California Polytechnic State University-San Luis Obispo,"San Luis Obispo, California",Master of Science in Business Analytics,https://gradbusiness.calpoly.edu/ms-business-analytics/
California,California State University-East Bay,"Hayward, California",Master of Science in Business Analytics,http://www20.csueastbay.edu/cbe/msba/index.html
California,California State University-Fullerton,"Fullerton, California",Certificate in Data Science,http://extension.fullerton.edu/ProfessionalDevelopment/Certificates/Data-Science
California,California State University-Long Beach,"Long Beach, California",Master of Science in Applied Statistics,http://www.csulb.edu/divisions/aa/catalog/current/cnsm/mathematics/mathms05.html
California,California State University-San Bernardino,"San Bernardino, California",Master of Business Administration (M.B.A.) - Business Intelligence and Information Technology Focus,http://bulletin.csusb.edu/colleges-schools-departments/business-public-administration/mba/
