Speaker,Title,Link,Date,Year,Month,Gender
Massimo De Feo,Pure Love: The True Sign of Every True Disciple of Jesus Christ,https://www.lds.org/general-conference/2018/04?lang=eng,4/1/18,2018,4,M
Bonnie L. Oscarson,Young Women in the Work,https://www.lds.org/general-conference/2018/04?lang=eng,4/1/18,2018,4,F
Jean B. Bingham,Ministering as the Savior Does,https://www.lds.org/general-conference/2018/04?lang=eng,4/1/18,2018,4,F
Reyna I. Aburto,With One Accord,https://www.lds.org/general-conference/2018/04?lang=eng,4/1/18,2018,4,F
Brian K. Taylor,Am I a Child of God?,https://www.lds.org/general-conference/2018/04?lang=eng,4/1/18,2018,4,M
Claudio D. Zivic,"He That Shall Endure unto the End, the Same Shall Be Saved",https://www.lds.org/general-conference/2018/04?lang=eng,4/1/18,2018,4,M
D. Todd Christofferson,The Elders Quorum,https://www.lds.org/general-conference/2018/04?lang=eng,4/1/18,2018,4,M
Dale G. Renlund,Family History and Temple Work: Sealing and Healing,https://www.lds.org/general-conference/2018/04?lang=eng,4/1/18,2018,4,M
Dallin H. Oaks,The Sustaining of Church Officers,https://www.lds.org/general-conference/2018/04?lang=eng,4/1/18,2018,4,M
Dallin H. Oaks,The Powers of the Priesthood,https://www.lds.org/general-conference/2018/04?lang=eng,4/1/18,2018,4,M
Dallin H. Oaks,Small and Simple Things,https://www.lds.org/general-conference/2018/04?lang=eng,4/1/18,2018,4,M
David A. Bednar,Meek and Lowly of Heart,https://www.lds.org/general-conference/2018/04?lang=eng,4/1/18,2018,4,M
Devin G. Durrant,Teaching in the Home—a Joyful and Sacred Responsibility,https://www.lds.org/general-conference/2018/04?lang=eng,4/1/18,2018,4,M
Dieter F. Uchtdorf,Behold the Man!,https://www.lds.org/general-conference/2018/04?lang=eng,4/1/18,2018,4,M
Douglas D. Holmes,What Every Aaronic Priesthood Holder Needs to Understand,https://www.lds.org/general-conference/2018/04?lang=eng,4/1/18,2018,4,M
Gerald Causse,It Is All about People,https://www.lds.org/general-conference/2018/04?lang=eng,4/1/18,2018,4,M
Gary E. Stevenson,The Heart of a Prophet,https://www.lds.org/general-conference/2018/04?lang=eng,4/1/18,2018,4,M
Gerrit W. Gong,Christ the Lord Is Risen Today,https://www.lds.org/general-conference/2018/04?lang=eng,4/1/18,2018,4,M
Henry B. Eyring,Solemn Assembly,https://www.lds.org/general-conference/2018/04?lang=eng,4/1/18,2018,4,M
Henry B. Eyring,Inspired Ministering,https://www.lds.org/general-conference/2018/04?lang=eng,4/1/18,2018,4,M
Henry B. Eyring,His Spirit to Be with You,https://www.lds.org/general-conference/2018/04?lang=eng,4/1/18,2018,4,M
Jeffrey R. Holland,“Be With and Strengthen Them”,https://www.lds.org/general-conference/2018/04?lang=eng,4/1/18,2018,4,M
Kevin R. Jergensen,"Church Auditing Department Report, 2017",https://www.lds.org/general-conference/2018/04?lang=eng,4/1/18,2018,4,M
Larry J. Echo Hawk,"Even as Christ Forgives You, So Also Do Ye",https://www.lds.org/general-conference/2018/04?lang=eng,4/1/18,2018,4,M
Larry Y. Wilson,Take the Holy Spirit as Your Guide,https://www.lds.org/general-conference/2018/04?lang=eng,4/1/18,2018,4,M
