"Title","Date","Location","Price","Bedrooms","Link","Zipcode"
"█Nicely renovated cape on full basement█","Dec 27","character(0)","$1717","
                    3600ft2 -
                ","https://newyork.craigslist.org/brx/abo/d/bronx-nicely-renovated-cape-on-full/6781010220.html","10453"
"█Nicely renovated cape on full basement█","Dec 27","character(0)","$1717","
                    3600ft2 -
                ","https://newyork.craigslist.org/brx/abo/d/bronx-nicely-renovated-cape-on-full/6781010338.html","10453"
"HUGE 3 BEDROOMS APT WITH ELEVATOR/4-B-D TRAIN/NICE BUILDING","Dec 27"," (Morris Heights/ E Burnside Ave)","$2300","
                    3br -
                ","https://newyork.craigslist.org/brx/abo/d/bronx-huge-3-bedrooms-apt-with-elevator/6780950886.html","10453"
"4 Bedroom 2 bath\\++Brand New House for RENT","Dec 26"," (bronx)","$1717","character(0)","https://newyork.craigslist.org/brx/abo/d/bronx-4-bedroom-2-bathbrand-new-house/6777409695.html","10453"
"**Beautiful 3 Bedroom and 1 Bathroom apartment on WALTON AVE**","Dec 26"," (WALTON AVE, BRONX)","$2150","
                    3br -
                    1050ft2 -
                ","https://newyork.craigslist.org/brx/fee/d/bronx-beautiful-3-bedroom-and-1/6780346573.html","10453"
"█Nicely renovated cape on full basement█","Dec 26","character(0)","$1717","
                    3600ft2 -
                ","https://newyork.craigslist.org/brx/abo/d/bronx-nicely-renovated-cape-on-full/6780228392.html","10453"
"We Have Different partments Located on All Over The Bronx","Dec 26"," (Bronx)","$1400","
                    1br -
                ","https://newyork.craigslist.org/brx/abo/d/bronx-we-have-different-partments/6775634345.html","10453"
"█Nicely renovated cape on full basement█","Dec 26","character(0)","$1717","
                    3600ft2 -
                ","https://newyork.craigslist.org/brx/abo/d/bronx-nicely-renovated-cape-on-full/6780228332.html","10453"
"ENTIRE APARTMENT BRAND NEW WITH STUNNING STAINLESS STEEL APPLIANCES🗣","Dec 26","character(0)","$1750","
                    2br -
                ","https://newyork.craigslist.org/brx/abo/d/bronx-entire-apartment-brand-new-with/6763595644.html","10453"
"Terrific 3 Bedrooms Apt/ With elevator/ Stainless Steel Appliances/","Dec 26"," (E Burnside Ave)","$2300","
                    3br -
                ","https://newyork.craigslist.org/brx/abo/d/bronx-terrific-3-bedrooms-apt-with/6769954664.html","10453"
"GORGEOUS 3 BR APT WITH ELEVATOR/ 2 FULL BATHROOMS","Dec 26"," (Grand Concourse/ E Burnside Ave)","$2300","
                    3br -
                ","https://newyork.craigslist.org/brx/abo/d/bronx-gorgeous-3-br-apt-with-elevator-2/6775367576.html","10453"
"👉🏼2BR IN A QUITE AREA👈🏼","Dec 25","character(0)","$1750","
                    2br -
                ","https://newyork.craigslist.org/brx/abo/d/bronx-2br-in-quite-area/6758006460.html","10453"
"0-1-2-3-4 RENOVATED APARTMENT FOR RENT","Dec 20"," (BRONX)","$1300","character(0)","https://newyork.craigslist.org/brx/nfb/d/bronxrenovated-apartment-for-rent/6777067874.html","10453"
"Beautiful Three Bedroom Apartment","Dec 15"," (11434)","$2200","
                    3br -
                ","https://newyork.craigslist.org/que/fee/d/bronx-beautiful-three-bedroom-apartment/6773258914.html","10453"
"0-1-2-3-4 RENOVATED APARTMENT FOR RENT","Dec  7"," (BRONX)","$1300","character(0)","https://newyork.craigslist.org/brx/nfb/d/renovated-apartment-for-rent/6767325637.html","10453"
"Affordable 2 Bedroom Apartment FOR RENT!!","Dec  4"," (2234 Davidson Ave)","$1700","
                    2br -
                ","https://newyork.craigslist.org/brx/fee/d/bronx-affordable-2-bedroom-apartment/6764778682.html","10453"
"Newly renovated 1 Bed 1 Bath located on W 174th Street in the Bronx.","Dec  1","character(0)","$1395","
                    1br -
                ","https://newyork.craigslist.org/brx/fee/d/bronx-newly-renovated-1-bed-1-bath/6762195657.html","10453"
"**LUXURY 2 Bedroom Apartments by Lehman College, Jerome Park**","Nov 27"," (Jerome Park, Bronx, NY)","$2100","
                    2br -
                    700ft2 -
                ","https://newyork.craigslist.org/brx/nfb/d/bronx-luxury-2-bedroom-apartments-by/6758935029.html","10453"
"Sr Annts Ave","Dec 27"," (BX NY)","$2300","
                    3br -
                ","https://newyork.craigslist.org/brx/abo/d/bronx-sr-annts-ave/6766708500.html","10457"
