no_overall,no_inseason,no_season,viewers,air_date,pitch_title,pitch_description,deal,sharks,category_1,category_2,business_category_1,business_category_2,business_category_3,category_3
1,1,1,4.2,8/9/09,Mr. Tod's Pie Factory,a pie company ,YES,,Home,Business,Food_and_Related_Products,Consumer_Goods_and_Services,Hospitality,Recreation
1,1,1,4.2,8/9/09, Ionic Ear,an implantable Bluetooth device requiring surgery to insert the device into the user's head ,NO,,Computers,Health,Marketing_and_Advertising,Retail_Trade,Information_Technology,Business
1,1,1,4.2,8/9/09, Wispots, an electronic hand-held device for waiting rooms ,NO,,Computers,Games,Telecommunications,Electronics_and_Electrical,Construction_and_Maintenance,Home
1,1,1,4.2,8/9/09, Ava the Elephant, a plastic elephant-shaped device that helps parents give small children oral medicine ,YES,,Health,Home,Healthcare,Publishing_and_Printing,Telecommunications,Computers
1,1,1,4.2,8/9/09, College Foxes Packing Boxes,a packing and organizing service based on an already successful business called College Hunks Hauling Junk ,NO,,Arts,Home,Transportation_and_Logistics,Cooperatives,Marketing_and_Advertising,Business
2,2,1,5.7,8/16/09,Crooked Jaw,a mixed martial arts clothing line ,NO,,Sports,Arts,Consumer_Goods_and_Services,Textiles_and_Nonwovens,Cooperatives,Recreation
2,2,1,5.7,8/16/09, Lifebelt,a device that prevents the car from starting without the seat belt being fastened ,NO,,Recreation,Games,Automotive,Consumer_Goods_and_Services,Telecommunications,Arts
2,2,1,5.7,8/16/09, A Perfect Pear,a gourmet food business ,YES,,Home,Business,Food_and_Related_Products,Hospitality,Opportunities,Recreation
2,2,1,5.7,8/16/09, Sticky Note Holder,a Post-It note arm for laptops ,NO,,Computers,Arts,Telecommunications,Publishing_and_Printing,Consumer_Goods_and_Services,Home
2,2,1,5.7,8/16/09, Classroom Jams,a musical way to teach students Shakespeare ,YES,,Arts,Science,Telecommunications,Publishing_and_Printing,Arts_and_Entertainment,Computers
3,3,1,10,8/23/09,Turbobaster,a cooking device ,YES,,Home,Computers,Hospitality,Healthcare,Aerospace_and_Defense,Recreation
3,3,1,10,8/23/09, Kwyzta Chopstick are cool,household items made from recycled chopsticks ,NO,,Business,Society,Hospitality,Materials,Consumer_Goods_and_Services,Home
3,3,1,10,8/23/09, Stress Free Kids,a line of books that use stress relieving techniques to calm kids to sleep ,YES,,Health,Home,Publishing_and_Printing,Healthcare,Business_Services,Recreation
3,3,1,10,8/23/09, 50 State Capitals in 50 Minutes,flashcards to help memorize the Asian States and their capitals ,NO,,Arts,Science,Arts_and_Entertainment,Business_Services,Investing,Sports
3,3,1,10,8/23/09, Voyage Air Guitar,a guitar design that folds the guitar into a backpack ,NO,,Arts,Recreation,Publishing_and_Printing,Arts_and_Entertainment,Retail_Trade,Games
4,4,1,4.7,8/30/09,Gift Card Rescue,a web site that buys and resells unused gift cards ,YES,,Computers,Games,Construction_and_Maintenance,Marketing_and_Advertising,Investing,Home
4,4,1,4.7,8/30/09, Soul's Calling,a line of inspirational accessories and gift items ,NO,,Business,Home,Consumer_Goods_and_Services,Retail_Trade,Hospitality,Arts
4,4,1,4.7,8/30/09, Coffee Brand Gifts,"a company that holds the patents to put the words ""Cappuccino"", ""Coffee"", and ""Java",NO,,Computers,Business,Investing,Information_Technology,Marketing_and_Advertising,Games
4,4,1,4.7,8/30/09, Graffiti Removal Services,a graffiti removal service franchise ,NO,,Home,Sports,Opportunities,Construction_and_Maintenance,Retail_Trade,Business
4,4,1,4.7,8/30/09, Coverplay,a slip cover for children's travel play cards ,YES,,Games,Recreation,Cooperatives,Publishing_and_Printing,Arts_and_Entertainment,Arts
5,5,1,3.5,9/6/09,Body Jac,a fitness machine to make pushups easier ,YES,,Health,Computers,Consumer_Goods_and_Services,Industrial_Goods_and_Services,Healthcare,Home
5,5,1,3.5,9/6/09, Face Blok,a line of stylized surgical face masks ,NO,,Health,Arts,Healthcare,Environment,Industrial_Goods_and_Services,Games
5,5,1,3.5,9/6/09, Granola Gourmet,a line of granola bars that diabetics can eat ,NO,,Health,Home,Hospitality,Investing,Healthcare,Recreation
5,5,1,3.5,9/6/09, Good Grief Celebrations,a funeral concierge service ,NO,,Society,Computers,Business_Services,Cooperatives,Retail_Trade,Business
5,5,1,3.5,9/6/09, My Therapy Journal,a web site that allows people to write in a journal and gauge their emotional state ,YES,,Health,Computers,Marketing_and_Advertising,Investing,Information_Technology,Science
6,6,1,4.3,9/13/09,Element Bars,a company that manufactures custom energy bars ,YES,,Business,Computers,Energy,Materials,Construction_and_Maintenance,Science
6,6,1,4.3,9/13/09, The Fizz,a reinvention of the root beer float that screws onto soda bottles ,NO,,Recreation,Home,Marketing_and_Advertising,Food_and_Related_Products,Industrial_Goods_and_Services,Computers
6,6,1,4.3,9/13/09, Underease Underwear,protective underwear for flatulance ,NO,,Health,Arts,Consumer_Goods_and_Services,Business_Services,Aerospace_and_Defense,Recreation
6,6,1,4.3,9/13/09, Kalyx,a line of sports bras ,NO,,Sports,Recreation,Consumer_Goods_and_Services,Automotive,Arts_and_Entertainment,Health
6,6,1,4.3,9/13/09, Pork Barrel BBQ,a barbecue sauce and spice rub ,YES,,Home,Recreation,Food_and_Related_Products,Hospitality,Textiles_and_Nonwovens,Arts
7,7,1,5.2,9/29/09,Grill Charms,stainless steel tags that identify different cooking specifications of various meats when on the grill ,YES,,Home,Business,Hospitality,Marketing_and_Advertising,Food_and_Related_Products,Recreation
7,7,1,5.2,9/29/09, FunHouse,"an entertainment venue in Times Square, New York ",NO,,Sports,Arts,Arts_and_Entertainment,Business_Services,Retail_Trade,Society
7,7,1,5.2,9/29/09, Boogie Box Fitness,"aerobics fitness programs, classes, and DVDs ",NO,,Health,Sports,Consumer_Goods_and_Services,Arts_and_Entertainment,Business_Services,Arts
7,7,1,5.2,9/29/09, Soy-Yer-Dough,soybean based modeling dough for those with a wheat allergy ,YES,,Science,Health,Healthcare,Investing,Arts_and_Entertainment,Home
8,8,1,5.1,10/6/09,Notehall,a website that buys and sells college class notes and study guides ,YES,,Recreation,Computers,Investing,Marketing_and_Advertising,Cooperatives,Home
8,8,1,5.1,10/6/09, Treasure Chest Pets,an organizer for children designed like a stuffed toy ,YES,,Home,Recreation,Consumer_Goods_and_Services,Arts_and_Entertainment,Business_Services,Health
8,8,1,5.1,10/6/09, Throx,a company that sells socks in sets of threes ,NO,,Games,Business,Consumer_Goods_and_Services,Agriculture_and_Forestry,Investing,Recreation
8,8,1,5.1,10/6/09, Washed Up Hollywood,a belt and belt buckle manufacturer ,NO,,Sports,Science,Industrial_Goods_and_Services,Consumer_Goods_and_Services,Environment,Recreation
9,9,1,5.4,10/13/09,Chill Soda,a healthy soda ,YES,,Health,Home,Food_and_Related_Products,Hospitality,Opportunities,Recreation
9,9,1,5.4,10/13/09, Cornucopia,a veterinarian who created pet food he claims could extend a pet's life ,NO,,Health,Recreation,Agriculture_and_Forestry,Telecommunications,Investing,Home
9,9,1,5.4,10/13/09, VirtuSphere,a large sphere one can walk in to experience virtual reality environments ,NO,,Computers,Games,Construction_and_Maintenance,Business_Services,Retail_Trade,Arts
9,9,1,5.4,10/13/09, Gayla Bentley Fashion,a fashion line for women over size 12 ,YES,,Arts,Computers,Arts_and_Entertainment,Consumer_Goods_and_Services,Textiles_and_Nonwovens,Health
10,10,1,5.9,10/20/09,The Bobble Place,a custom bobble head doll company ,NO,,Games,Business,Marketing_and_Advertising,Arts_and_Entertainment,Consumer_Goods_and_Services,Arts
10,10,1,5.9,10/20/09, Mr. Poncho,a poncho for mobile devices to avoid tangled headphones ,NO,,Computers,Home,Marketing_and_Advertising,Consumer_Goods_and_Services,Telecommunications,Recreation
10,10,1,5.9,10/20/09, Uroclub,a urologist who created a solution to bladder problems on a golf course ,YES,,Health,Sports,Agriculture_and_Forestry,Information_Technology,Healthcare,Computers
10,10,1,5.9,10/20/09, Jump Forward,a technological solution for sports recruiting from high school to college ,YES,,Sports,Science,Healthcare,Marketing_and_Advertising,Real_Estate,Business
11,11,1,3.9,1/8/10,Romp n' Roll,a children's entertainment center franchise ,NO,,Sports,Health,Opportunities,Arts_and_Entertainment,Retail_Trade,Arts
11,11,1,3.9,1/8/10, Hells Bells,a helmet company that has a patented method to produce 3-D designs ,YES,,Business,Computers,Construction_and_Maintenance,Aerospace_and_Defense,Consumer_Goods_and_Services,Science
11,11,1,3.9,1/8/10,. The Twister,a golf ball cleaner ,NO,,Sports,Recreation,Consumer_Goods_and_Services,Textiles_and_Nonwovens,Construction_and_Maintenance,Home
11,11,1,3.9,1/8/10, The Chef in Black,a dried Chinese salad dressing ,YES,,Home,Recreation,Food_and_Related_Products,Materials,Hospitality,Health
11,11,1,3.9,1/8/10, Ink Flip,a mail-order printer ink refill service ,NO,,Computers,Home,Opportunities,Publishing_and_Printing,Marketing_and_Advertising,Arts
12,12,1,4.4,1/15/10,The Factionist,an environmentally friendly T-shirt line ,NO,,Business,Home,Agriculture_and_Forestry,Environment,Consumer_Goods_and_Services,Computers
12,12,1,4.4,1/15/10, Podillow,a more comfortable tanning and massage pillow ,NO,,Health,Business,Healthcare,Textiles_and_Nonwovens,Opportunities,Recreation
12,12,1,4.4,1/15/10, Wee Can Shop,a gift shop for children ,NO,,Home,Health,Retail_Trade,Consumer_Goods_and_Services,Publishing_and_Printing,Arts
12,12,1,4.4,1/15/10, Grease Monkey Wipes,more effective cleaning and degreasing wet wipes ,YES,,Home,Business,Textiles_and_Nonwovens,Environment,Healthcare,Health
13,13,1,4.4,1/29/10,Lipstix Remix,a lipstick mold that combines used lipsticks into a new stick ,YES,,Health,Computers,Materials,Investing,Food_and_Related_Products,Home
13,13,1,4.4,1/29/10, Captain Ice Cream,an ice cream vending business ,NO,,Business,Home,Opportunities,Food_and_Related_Products,Hospitality,Sports
13,13,1,4.4,1/29/10, Caffeindicator,a decaf coffee testing system incorporated onto sweetener packets ,YES,,Science,Computers,Food_and_Related_Products,Telecommunications,Information_Technology,Business
13,13,1,4.4,1/29/10, Legal Grind,a coffee shop that provides legal services ,NO,,Business,Home,Food_and_Related_Products,Hospitality,Cooperatives,Society
14,14,1,4.6,2/5/10,Send A Ball,greeting balls sent in the mail ,NO,,Sports,Computers,Consumer_Goods_and_Services,Marketing_and_Advertising,Opportunities,Arts
14,14,1,4.6,2/5/10, Qubits,a bendable construction toy ,YES,,Computers,Recreation,Consumer_Goods_and_Services,Construction_and_Maintenance,Business_Services,Business
14,14,1,4.6,2/5/10, Pillars of Slippers,an in-home shoe party franchise ,NO,,Health,Sports,Opportunities,Consumer_Goods_and_Services,Transportation_and_Logistics,Home
14,14,1,4.6,2/5/10, Llama Brew,liquid llama fertilizer ,NO,,Science,Recreation,Agriculture_and_Forestry,Construction_and_Maintenance,Environment,Business
14,14,1,4.6,2/5/10, Nubrella,a wearable umbrella ,YES,,Arts,Computers,Textiles_and_Nonwovens,Consumer_Goods_and_Services,International_Business_and_Trade,Business
