title,address,city,state,price,bedrooms,bathrooms
BRAND NEW Eastern Park Townhomes # 302,765 E 550 S,American Fork,UT,1250,3,2
Relax...you're home!,521 S 500 E,American Fork,UT,1099,1,1
$0 DEPOSIT - SPACIOUS AND BRAND NEW 3 BDRMS!!,465 S 830 E,American Fork,UT,1649,3,2.5
Basement Apartment Rooms for Rent – Females Only,693 N 540 W,American Fork,UT,525,3,1
1 bedroom home must see!,400 South 860 East,American Fork,UT,1090,1,1
"2 Bedroom Condo, Washer and Dryer included!",446 E 400 S,American Fork,UT,1125,2,1
Easton Park in American Fork: Condos,740 E 530 S,American Fork,UT,995,1,1
"Charming 3-Bed, 2-Bath Condo w/Storage!",698 E 500 S,American Fork,UT,1265,3,2
"Gorgeous 1-Bed, 1-Bath Condo in Easton Park!",823 E 550 S,American Fork,UT,995,1,1
"$1649/mth for 1700 sq ft, 3 bdrms, 2 car garage!!",465 S 830 E,American Fork,UT,1649,3,2.5
Spacious 2-Story Tucker Model in American Fork!,795 E 500 S Unit A,American Fork,UT,1375,3,2.5
"American Fork Townhome w/ Garage, Upgrades!",734 E 550 S,American Fork,UT,1425,3,2.5
When Only the Best Will Do!,521 S 500 E,American Fork,UT,1499,2,2.5
Luxury 2 Bed 2 Bath with Garage!,302 S 740 E,American Fork,UT,1470,2,2
Call Today!,400 South 860 East,American Fork,UT,1498,3,2
American Fork 4 bed townhome,167 N 450 W,American Fork,UT,1595,4,2.5
3 Bedroom 2 Bath Apartment,400 South 860 East,American Fork,UT,1500,3,2
Luxury 2 Bedroom 1 Bath!,302 S 740 E,American Fork,UT,1380,2,1
Relax...you're home!,521 S 500 E,American Fork,UT,1699,3,2.5
American Fork 3 Bed/ 2 Bath Home with Garage/RV,1199 N 250 W,American Fork,UT,1650,3,2
Nice 5 Bdrm 3.5 bath home in American Fork,325 W 1360 N,American Fork,UT,2100,5,3.5
Quiet country home,7624 N 7230 W,American Fork,UT,1400,3,1
MOVE TODAY!,400 South 860 East,American Fork,UT,1260,2,2
****Restrictions apply,465 S 830 E,American Fork,UT,1649,3,2.5
Brand New Spacious Townhome Heart of Highland,10898 N Slate Ln,Highland,UT,2400,4,3.5
Exec Apartment - utilities/cable/internet included,636 High Ridge Ln,Alpine,UT,1350,2,1
Newly built apartment: utilities/internet included,636 High Ridge Ln,Alpine,UT,1900,3,2
Alpine Duplex  / Alpine Rental / Alpine Apartment,273 S Main St,Alpine,UT,1055,2,1
"$1,000 - 1 bed / 1 bath home for rent",86 E Center St,Alpine,UT,1000,1,1
Alpine Dream Home,533 Mountainville Dr,Alpine,UT,5200,6,5
OrchardView Smart Apartment,206 Sunset Dr,Alpine,UT,1100,1,1
Eagle Heights Village,4000 N Lake Mountain Blvd,Eagle Mountain,UT,1500,3,2
