month_date_yyyymm,postal_code,zip_name,city,state,nielsen_hh_rank,hotness_rank,hotness_rank_mm,hotness_rank_yy,hotness_score,supply_score,demand_score,median_days_on_market,median_days_on_market_mm,median_dom_mm_day,median_days_on_market_yy,median_dom_yy_day,median_dom_vs_us,ldpviews_per_property_mm,ldpviews_per_property_yy,ldpviews_per_property_vs_us,median_listing_price,median_listing_price_mm,median_listing_price_yy,median_listing_price_vs_us,cbsa_name,cbsa_zip_name
2020-11-01,85019,"phoenix, az",phoenix,az,6465,2358,-1493,-564,74.321452,87.43459778,61.20830608,35,1.0588,18,-0.0278,-1,-22.5,-0.2662,0.7771,1.209,237500,-0.0304,0.0558,0.6818,"Phoenix-Mesa-Glendale, AZ Metropolitan Statistical Area","Phoenix, AZ"
2020-11-01,85007,"phoenix, az",phoenix,az,8167,5668,810,-3457,53.155657,51.20176586,55.10954872,53,0.06,3,0.1042,5,-4.5,-0.0037,0.462,1.1025,487550,0.0177,0.413,1.3998,"Phoenix-Mesa-Glendale, AZ Metropolitan Statistical Area","Phoenix, AZ"
2020-11-01,85016,"phoenix, az",phoenix,az,1068,4846,1738,1766,58.150752,75.64584696,40.65565729,41,-0.0238,-1,-0.3492,-22,-16.5,0.0693,0.6364,0.8852,467549.5,-0.0833,-0.0743,1.3424,"Phoenix-Mesa-Glendale, AZ Metropolitan Statistical Area","Phoenix, AZ"
2020-11-01,85022,"phoenix, az",phoenix,az,383,1711,23,581,79.426913,88.36657946,70.48724657,34.5,0.6429,13.5,-0.266,-12.5,-23,0.0366,0.9101,1.3934,395050,0.1289,0,1.1342,"Phoenix-Mesa-Glendale, AZ Metropolitan Statistical Area","Phoenix, AZ"
2020-11-01,85051,"phoenix, az",phoenix,az,1860,2953,262,-528,70.180674,76.62688031,63.73446697,40.5,0.3966,11.5,-0.0122,-0.5,-17,0.1333,0.9615,1.2541,267000,0.0074,0.1765,0.7665,"Phoenix-Mesa-Glendale, AZ Metropolitan Statistical Area","Phoenix, AZ"
2020-11-01,85014,"phoenix, az",phoenix,az,2792,3653,1279,1504,65.483976,89.82177894,41.14617397,33.5,-0.0147,-0.5,-0.4018,-22.5,-24,0.0283,0.5797,0.8934,450000,-0.0197,0.1687,1.292,"Phoenix-Mesa-Glendale, AZ Metropolitan Statistical Area","Phoenix, AZ"
2020-11-01,85009,"phoenix, az",phoenix,az,2815,1984,-83,288,77.26864,96.60725965,57.93001962,26.5,-0.1452,-4.5,-0.4479,-21.5,-31,-0.2405,0.544,1.1516,230050,0,0.2784,0.6604,"Phoenix-Mesa-Glendale, AZ Metropolitan Statistical Area","Phoenix, AZ"
2020-11-01,85013,"phoenix, az",phoenix,az,4529,4264,-374,-524,61.61707,83.04447351,40.18966645,37.5,0.1719,5.5,-0.1667,-7.5,-20,-0.1535,0.5809,0.8811,394999.5,-0.0102,0.1619,1.1341,"Phoenix-Mesa-Glendale, AZ Metropolitan Statistical Area","Phoenix, AZ"
2020-11-01,85035,"phoenix, az",phoenix,az,2967,2913,-714,-489,70.454545,85.80771746,55.10137345,36,0.0909,3,-0.027,-1,-21.5,-0.2486,0.7933,1.1025,237500,-0.0065,0.1148,0.6818,"Phoenix-Mesa-Glendale, AZ Metropolitan Statistical Area","Phoenix, AZ"
2020-11-01,85034,"phoenix, az",phoenix,az,12974,9638,NA,NA,26.336658,35.35807717,17.31523872,64,-0.5493,-78,-0.0303,-2,6.5,-0.0493,0.6875,0.5533,250000,2e-4,0.0414,0.7177,"Phoenix-Mesa-Glendale, AZ Metropolitan Statistical Area","Phoenix, AZ"
2020-11-01,85029,"phoenix, az",phoenix,az,1102,879,1095,183,86.780576,96.00228908,77.558862,27.5,-0.0833,-2.5,-0.1406,-4.5,-30,0.0702,0.9844,1.5615,266000,0.0638,0.0855,0.7637,"Phoenix-Mesa-Glendale, AZ Metropolitan Statistical Area","Phoenix, AZ"
