"Location","Education","Years of Experience","Percentile","Salary"
"New York City","Less than Bachelors",0,"25th",74000
"New York City","Less than Bachelors",1,"25th",76000
"New York City","Less than Bachelors",2,"25th",78000
"New York City","Less than Bachelors",3,"25th",80000
"New York City","Less than Bachelors",4,"25th",82000
"New York City","Less than Bachelors",5,"25th",84000
"New York City","Less than Bachelors",6,"25th",86000
"New York City","Less than Bachelors",7,"25th",88000
"New York City","Less than Bachelors",8,"25th",91000
"New York City","Less than Bachelors",9,"25th",93000
"New York City","Less than Bachelors",10,"25th",95000
"New York City","Bachelors Degree",0,"25th",81000
"New York City","Bachelors Degree",1,"25th",83000
"New York City","Bachelors Degree",2,"25th",85000
"New York City","Bachelors Degree",3,"25th",87000
"New York City","Bachelors Degree",4,"25th",89000
"New York City","Bachelors Degree",5,"25th",92000
"New York City","Bachelors Degree",6,"25th",94000
"New York City","Bachelors Degree",7,"25th",96000
"New York City","Bachelors Degree",8,"25th",99000
"New York City","Bachelors Degree",9,"25th",101000
"New York City","Bachelors Degree",10,"25th",104000
"New York City","Graduate Degree",0,"25th",86000
"New York City","Graduate Degree",1,"25th",88000
"New York City","Graduate Degree",2,"25th",90000
"New York City","Graduate Degree",3,"25th",93000
"New York City","Graduate Degree",4,"25th",95000
"New York City","Graduate Degree",5,"25th",97000
"New York City","Graduate Degree",6,"25th",1e+05
"New York City","Graduate Degree",7,"25th",102000
"New York City","Graduate Degree",8,"25th",105000
"New York City","Graduate Degree",9,"25th",108000
"New York City","Graduate Degree",10,"25th",110000
"New York City","Post-Graduate Degree",0,"25th",86000
"New York City","Post-Graduate Degree",1,"25th",88000
"New York City","Post-Graduate Degree",2,"25th",90000
"New York City","Post-Graduate Degree",3,"25th",93000
"New York City","Post-Graduate Degree",4,"25th",95000
"New York City","Post-Graduate Degree",5,"25th",97000
"New York City","Post-Graduate Degree",6,"25th",1e+05
"New York City","Post-Graduate Degree",7,"25th",102000
"New York City","Post-Graduate Degree",8,"25th",105000
"New York City","Post-Graduate Degree",9,"25th",108000
"New York City","Post-Graduate Degree",10,"25th",110000
"Salt Lake City","Less than Bachelors",0,"25th",58000
"Salt Lake City","Less than Bachelors",1,"25th",59000
