"","Title","Date","Location","Price","Bedrooms","Link","Zipcode"
"1","Charming 2 bedroom house with pool and fenced yard in Hastings!!!","Dec 21"," (Hastings on Hudson)","$3500","
                    2br -
                ","https://newyork.craigslist.org/wch/abo/d/charming-2-bedroom-house-with-pool-and/6765035818.html","10502"
"2","2 BR / 2 BA COTTAGE IN ARMONK w/ Parking, Patio & Fireplace","Dec 22"," (ARMONK, NY)","$2350","
                    2br -
                ","https://newyork.craigslist.org/wch/abo/d/armonk-2-br-2-ba-cottage-in-armonk/6757956692.html","10504"
"3","Armonk - 3 bedroom home for rent","Dec 20"," (Faraway Road)","$3900","
                    3br -
                    2400ft2 -
                ","https://newyork.craigslist.org/wch/abo/d/armonk-armonk-3-bedroom-home-for-rent/6758656548.html","10504"
"4","Armonk - 3 bedroom home for rent","Dec 20"," (Faraway Road)","$3900","
                    3br -
                    2400ft2 -
                ","https://newyork.craigslist.org/wch/abo/d/armonk-armonk-3-bedroom-home-for-rent/6767665450.html","10504"
"5","Bedford estate cottage, Hi End Living, Must See","Dec 20"," (Bedford, NY)","$2300","
                    1br -
                    1200ft2 -
                ","https://newyork.craigslist.org/wch/abo/d/bedford-bedford-estate-cottage-hi-end/6776993948.html","10506"
"6","Lawrence Terrace Apartments","Dec 20"," (Bedford Hills / Katonah)","$1725","
                    1br -
                    870ft2 -
                ","https://newyork.craigslist.org/wch/abo/d/lawrence-terrace-apartments/6766051386.html","10507"
"7","*NO FEE* GUT RENOVATED! W/D IN-UNIT, Pets OK, Metro North, + 2 Parking","Dec  1"," (201 Babbitt Road #8, Bedford Hills, NY)","$2000","
                    1br -
                    780ft2 -
                ","https://newyork.craigslist.org/wch/nfb/d/bedford-hills-no-fee-gut-renovated-d-in/6762375802.html","10507"
"8","Awesome Two Bedroom Apartment","Dec 21"," (Buchanan)","$1900","
                    2br -
                    1000ft2 -
                ","https://newyork.craigslist.org/wch/abo/d/awesome-two-bedroom-apartment/6778113211.html","10511"
"9","Renovated 3 BR townhouse w loft & finished basement","Dec 22"," (Katonah/ Cross River, NY)","$3285","
                    3br -
                    2011ft2 -
                ","https://newyork.craigslist.org/wch/abo/d/renovated-3-br-townhouse-loft-finished/6772279176.html","10518"
"10","Large 2 Bed Room","Dec 21"," (carmel)","$1825","
                    2br -
                    1200ft2 -
                ","https://newyork.craigslist.org/wch/abo/d/croton-falls-large-2-bed-room/6777655606.html","10519"
"11","3 bedroom house","Dec 21"," (Croton on hudson)","$2700","
                    3br -
                ","https://newyork.craigslist.org/wch/abo/d/croton-on-hudson-3-bedroom-house/6777992886.html","10520"
"12","1 bedroom - Gas Cooking, Chef-Inspired Kitchens, Nest Learning Thermostat","Dec 22","character(0)","$2875","
                    1br -
                    809ft2 -
                ","https://newyork.craigslist.org/wch/abo/d/dobbs-ferry-1-bedroom-gas-cooking-chef/6773495801.html","10522"
"13","1 bedroom - Nest Learning Thermostat, Wide Plank Flooring, Walk-In Closets","Dec 22","character(0)","$2825","
                    1br -
                    780ft2 -
                ","https://newyork.craigslist.org/wch/abo/d/dobbs-ferry-1-bedroom-nest-learning/6773492322.html","10522"
"14","1 bedroom - Pet Friendly, Gas Cooking, Electric Car Charging Station","Dec 22","character(0)","$3160","
                    1br -
                    871ft2 -
                ","https://newyork.craigslist.org/wch/abo/d/dobbs-ferry-1-bedroom-pet-friendly-gas/6778537237.html","10522"
"15","1 bedroom - Covered Bike Storage, Walk-In Closets, Spacious Floor Plans","Dec 22","character(0)","$3060","
                    1br -
                    860ft2 -
                ","https://newyork.craigslist.org/wch/abo/d/dobbs-ferry-1-bedroom-covered-bike/6778535923.html","10522"
"16","1 bedroom - Pet Friendly, Spacious Floor Plans, Chef-Inspired Kitchens","Dec 22","character(0)","$3220","
                    1br -
                    918ft2 -
                ","https://newyork.craigslist.org/wch/abo/d/dobbs-ferry-1-bedroom-pet-friendly/6778534678.html","10522"
"17","1 bedroom - Wide Plank Flooring, Spacious Floor Plans","Dec 22","character(0)","$3200","
                    1br -
                    921ft2 -
                ","https://newyork.craigslist.org/wch/abo/d/dobbs-ferry-1-bedroom-wide-plank/6778533750.html","10522"
"18","1 bedroom - Gas Cooking, Pet Friendly, LEED Silver Designed","Dec 22","character(0)","$2950","
                    1br -
                    780ft2 -
                ","https://newyork.craigslist.org/wch/abo/d/dobbs-ferry-1-bedroom-gas-cooking-pet/6778528130.html","10522"
"19","1 bedroom - Over-Sized Soaking Tubs, LEED Silver Designed, Walk-In Closets","Dec 22","character(0)","$3060","
                    1br -
                    860ft2 -
                ","https://newyork.craigslist.org/wch/abo/d/dobbs-ferry-1-bedroom-over-sized/6775461882.html","10522"
"20","1 bedroom - Chef-Inspired Kitchens, Pet Spa, Over-Sized Soaking Tubs","Dec 22","character(0)","$3200","
                    1br -
                    921ft2 -
                ","https://newyork.craigslist.org/wch/abo/d/dobbs-ferry-1-bedroom-chef-inspired/6774949411.html","10522"
"21","3 Bedroom Apartment","Dec 22"," (Ridge Rd)","$3400","
                    3br -
                ","https://newyork.craigslist.org/wch/abo/d/dobbs-ferry-3-bedroom-apartment/6774501320.html","10522"
"22","LARGE THREE BEDROOM TWO BATHROOM APT. WITH OPEN FLOOR PLAN & WOOD FL.","Dec 21"," (Dobbs Ferry)","$3200","
                    3br -
                    1300ft2 -
                ","https://newyork.craigslist.org/wch/fee/d/dobbs-ferry-large-three-bedroom-two/6778056739.html","10522"
"23","1 bedroom - Covered Bike Storage, Pet Spa, Electric Car Charging Station","Dec 21","character(0)","$2860","
                    1br -
                    827ft2 -
                ","https://newyork.craigslist.org/wch/abo/d/dobbs-ferry-1-bedroom-covered-bike/6768123727.html","10522"
