RegionID,SizeRank,RegionName,RegionType,StateName,State,City,Metro,CountyName,bd,Month,zhvi
399648,457,83646,Zip,ID,ID,Meridian,Boise City,Ada County,1,1996-01-31,NA
94282,613,83709,Zip,ID,ID,Boise,Boise City,Ada County,1,1996-01-31,NA
94248,1058,83642,Zip,ID,ID,Meridian,Boise City,Ada County,1,1996-01-31,NA
94277,1510,83704,Zip,ID,ID,Boise,Boise City,Ada County,1,1996-01-31,NA
94279,1917,83706,Zip,ID,ID,Boise,Boise City,Ada County,1,1996-01-31,NA
94278,3270,83705,Zip,ID,ID,Boise,Boise City,Ada County,1,1996-01-31,NA
94227,3433,83616,Zip,ID,ID,Eagle,Boise City,Ada County,1,1996-01-31,NA
94275,3915,83702,Zip,ID,ID,Boise,Boise City,Ada County,1,1996-01-31,NA
94286,4143,83714,Zip,ID,ID,Boise,Boise City,Ada County,1,1996-01-31,NA
94241,5801,83634,Zip,ID,ID,Kuna,Boise City,Ada County,1,1996-01-31,NA
94288,6246,83716,Zip,ID,ID,Boise,Boise City,Ada County,1,1996-01-31,NA
94276,6426,83703,Zip,ID,ID,Boise,Boise City,Ada County,1,1996-01-31,NA
94265,9164,83669,Zip,ID,ID,Star,Boise City,Ada County,1,1996-01-31,NA
94284,10085,83712,Zip,ID,ID,Boise,Boise City,Ada County,1,1996-01-31,NA
399648,457,83646,Zip,ID,ID,Meridian,Boise City,Ada County,2,1996-01-31,NA
94282,613,83709,Zip,ID,ID,Boise,Boise City,Ada County,2,1996-01-31,NA
94248,1058,83642,Zip,ID,ID,Meridian,Boise City,Ada County,2,1996-01-31,NA
94277,1510,83704,Zip,ID,ID,Boise,Boise City,Ada County,2,1996-01-31,NA
94279,1917,83706,Zip,ID,ID,Boise,Boise City,Ada County,2,1996-01-31,NA
94278,3270,83705,Zip,ID,ID,Boise,Boise City,Ada County,2,1996-01-31,NA
94227,3433,83616,Zip,ID,ID,Eagle,Boise City,Ada County,2,1996-01-31,NA
94275,3915,83702,Zip,ID,ID,Boise,Boise City,Ada County,2,1996-01-31,NA
94286,4143,83714,Zip,ID,ID,Boise,Boise City,Ada County,2,1996-01-31,NA
94285,4151,83713,Zip,ID,ID,Boise,Boise City,Ada County,2,1996-01-31,NA
94241,5801,83634,Zip,ID,ID,Kuna,Boise City,Ada County,2,1996-01-31,NA
94288,6246,83716,Zip,ID,ID,Boise,Boise City,Ada County,2,1996-01-31,NA
94276,6426,83703,Zip,ID,ID,Boise,Boise City,Ada County,2,1996-01-31,NA
94265,9164,83669,Zip,ID,ID,Star,Boise City,Ada County,2,1996-01-31,NA
94284,10085,83712,Zip,ID,ID,Boise,Boise City,Ada County,2,1996-01-31,NA
399648,457,83646,Zip,ID,ID,Meridian,Boise City,Ada County,3,1996-01-31,NA
94282,613,83709,Zip,ID,ID,Boise,Boise City,Ada County,3,1996-01-31,NA
94248,1058,83642,Zip,ID,ID,Meridian,Boise City,Ada County,3,1996-01-31,NA
94277,1510,83704,Zip,ID,ID,Boise,Boise City,Ada County,3,1996-01-31,NA
94279,1917,83706,Zip,ID,ID,Boise,Boise City,Ada County,3,1996-01-31,NA
94278,3270,83705,Zip,ID,ID,Boise,Boise City,Ada County,3,1996-01-31,NA
94227,3433,83616,Zip,ID,ID,Eagle,Boise City,Ada County,3,1996-01-31,NA
94275,3915,83702,Zip,ID,ID,Boise,Boise City,Ada County,3,1996-01-31,NA
94286,4143,83714,Zip,ID,ID,Boise,Boise City,Ada County,3,1996-01-31,NA
94285,4151,83713,Zip,ID,ID,Boise,Boise City,Ada County,3,1996-01-31,NA
94241,5801,83634,Zip,ID,ID,Kuna,Boise City,Ada County,3,1996-01-31,NA
94288,6246,83716,Zip,ID,ID,Boise,Boise City,Ada County,3,1996-01-31,NA
94276,6426,83703,Zip,ID,ID,Boise,Boise City,Ada County,3,1996-01-31,NA
94265,9164,83669,Zip,ID,ID,Star,Boise City,Ada County,3,1996-01-31,NA
94284,10085,83712,Zip,ID,ID,Boise,Boise City,Ada County,3,1996-01-31,NA
399648,457,83646,Zip,ID,ID,Meridian,Boise City,Ada County,4,1996-01-31,NA
94282,613,83709,Zip,ID,ID,Boise,Boise City,Ada County,4,1996-01-31,NA
94248,1058,83642,Zip,ID,ID,Meridian,Boise City,Ada County,4,1996-01-31,NA
94277,1510,83704,Zip,ID,ID,Boise,Boise City,Ada County,4,1996-01-31,NA
94279,1917,83706,Zip,ID,ID,Boise,Boise City,Ada County,4,1996-01-31,NA
94278,3270,83705,Zip,ID,ID,Boise,Boise City,Ada County,4,1996-01-31,NA
94227,3433,83616,Zip,ID,ID,Eagle,Boise City,Ada County,4,1996-01-31,NA
94275,3915,83702,Zip,ID,ID,Boise,Boise City,Ada County,4,1996-01-31,NA
94286,4143,83714,Zip,ID,ID,Boise,Boise City,Ada County,4,1996-01-31,NA
94285,4151,83713,Zip,ID,ID,Boise,Boise City,Ada County,4,1996-01-31,NA
94241,5801,83634,Zip,ID,ID,Kuna,Boise City,Ada County,4,1996-01-31,NA
94288,6246,83716,Zip,ID,ID,Boise,Boise City,Ada County,4,1996-01-31,NA
94276,6426,83703,Zip,ID,ID,Boise,Boise City,Ada County,4,1996-01-31,NA
94265,9164,83669,Zip,ID,ID,Star,Boise City,Ada County,4,1996-01-31,NA
94284,10085,83712,Zip,ID,ID,Boise,Boise City,Ada County,4,1996-01-31,NA
399648,457,83646,Zip,ID,ID,Meridian,Boise City,Ada County,5,1996-01-31,NA
94282,613,83709,Zip,ID,ID,Boise,Boise City,Ada County,5,1996-01-31,NA
94248,1058,83642,Zip,ID,ID,Meridian,Boise City,Ada County,5,1996-01-31,NA
94277,1510,83704,Zip,ID,ID,Boise,Boise City,Ada County,5,1996-01-31,NA
94279,1917,83706,Zip,ID,ID,Boise,Boise City,Ada County,5,1996-01-31,NA
94278,3270,83705,Zip,ID,ID,Boise,Boise City,Ada County,5,1996-01-31,NA
94227,3433,83616,Zip,ID,ID,Eagle,Boise City,Ada County,5,1996-01-31,NA
94275,3915,83702,Zip,ID,ID,Boise,Boise City,Ada County,5,1996-01-31,NA
94286,4143,83714,Zip,ID,ID,Boise,Boise City,Ada County,5,1996-01-31,NA
94285,4151,83713,Zip,ID,ID,Boise,Boise City,Ada County,5,1996-01-31,NA
94241,5801,83634,Zip,ID,ID,Kuna,Boise City,Ada County,5,1996-01-31,NA
94288,6246,83716,Zip,ID,ID,Boise,Boise City,Ada County,5,1996-01-31,NA
94276,6426,83703,Zip,ID,ID,Boise,Boise City,Ada County,5,1996-01-31,NA
94265,9164,83669,Zip,ID,ID,Star,Boise City,Ada County,5,1996-01-31,NA
94284,10085,83712,Zip,ID,ID,Boise,Boise City,Ada County,5,1996-01-31,NA
399648,457,83646,Zip,ID,ID,Meridian,Boise City,Ada County,1,1996-02-29,NA
94282,613,83709,Zip,ID,ID,Boise,Boise City,Ada County,1,1996-02-29,NA
